"kcmc","xskcdm","kcdm","xf","kclb","kkxy","category","dl","lx"
"“读脑”–脑科技概论及最新进展","MED0621GZ（871Z0010）","MED0621GZ","1.5","通识","脑科学与脑医学系","全部课程","xk_n","bl"
"《四库全书总目》导读","LIT2115M（41190040）","LIT2115M","2.0","专业课","文学院","所有类（专业）","zy_qb","bl"
"《文选》导读","LIT2119M（04198510）","LIT2119M","2.0","专业课","文学院","所有类（专业）","zy_qb","bl"
"《资本论》选读","ECON2001M（01196511）","ECON2001M","3.0","专业课","经济学院","所有类（专业）","zy_qb","bl"
"15世纪以来的知识全球史","42190080","42190080","3.0","专业课","历史学院","所有类（专业）","zy_qb","bl"
"20世纪世界文学研究","LIT3102M（04197210）","LIT3102M","2.0","专业课","文学院","所有类（专业）","zy_qb","bl"
"20世纪外国文学专题研究","LIT2131M","LIT2131M","2.0","专业课","文学院","所有类（专业）","zy_qb","bl"
"3D打印与数字化智造","CBE0405G（8114N006）","CBE0405G","2.0","通识","化学工程与生物工程学院","全部课程","xk_n","bl"
"3D建模与打印技术","SAA3026M（56120630）","SAA3026M","2.0","专业课","艺术与考古学院","所有类（专业）","zy_qb","bl"
"奥林匹克文化","EDU2016M（03191712）","EDU2016M","2.0","专业课","教育学院","所有类（专业）","zy_qb","bl"
"板块构造","GEOS3031M（83120360）","GEOS3031M","2.0","专业课","地球科学学院","所有类（专业）","zy_qb","bl"
"版本学","LIT3014M（04120110）","LIT3014M","2.0","专业课","文学院","所有类（专业）","zy_qb","bl"
"半导体材料","MSE3103M（09192250）","MSE3103M","2.0","专业课","材料科学与工程学院","所有类（专业）","zy_qb","bl"
"半导体发光材料与器件","MSE3318M（63120070）","MSE3318M","2.0","专业课","材料科学与工程学院","所有类（专业）","zy_qb","bl"
"半导体物理","ISEE2012M（85120080）","ISEE2012M","3.0","专业课","信息与电子工程学院","国际化课程","gjhkc","zl"
"薄膜材料技术与物理","MSE3106M（63120010）","MSE3106M","2.0","专业课","材料科学与工程学院","所有类（专业）","zy_qb","bl"
"保健课（适用运动受限学生）","PPAE0001G（40102300）","PPAE0001G","1.0","通识","公共体育与艺术部","体育课程","xk_8","bl"
"保健食品","BEFS3062M（13192070）","BEFS3062M","1.5","专业课","生物系统工程与食品科学学院","所有类（专业）","zy_qb","bl"
"保险学","ECON3001M（01120010）","ECON3001M","3.0","专业课","经济学院","所有类（专业）","zy_qb","bl"
"保险学","PA2010M（24120100）","PA2010M","3.0","专业课","公共管理学院","所有类（专业）","zy_qb","bl"
"报人研究","MIC4084M（25121760）","MIC4084M","2.0","专业课","传媒与国际文化学院","所有类（专业）","zy_qb","bl"
"贝类学","CAS3039M（17120871）","CAS3039M","1.5","专业课","动物科学学院","所有类（专业）","zy_qb","bl"
"贝叶斯统计学基础","PSY3023M（79120050）","PSY3023M","2.0","专业课","心理与行为科学系","所有类（专业）","zy_qb","bl"
"本科毕业考试","MED5831M（18121150）","MED5831M","1.0","专业课","口腔医学系","所有类（专业）","zy_qb","bl"
"本科毕业考试","73120130","73120130","1.0","专业课","公共卫生学院","所有类（专业）","zy_qb","bl"
"比较教育学","EDU2001M（03120010）","EDU2001M","3.0","专业课","教育学院","所有类（专业）","zy_qb","bl"
"比较媒介体制","MIC2072M（25121620）","MIC2072M","2.0","专业课","传媒与国际文化学院","所有类（专业）","zy_qb","bl"
"比较人体形态学Ⅰ","72120261","72120261","1.5","专业课","基础医学系","所有类（专业）","zy_qb","bl"
